Source,Target,Type,Id,Label,Intercal,Weight
2900408,777777,,,,,
2902685,777777,,,,,
2908589,777777,,,,,
2923111,777777,,,,,
2938560,777777,,,,,
2946175,777777,,,,,
2952077,777777,,,,,
2953312,777777,,,,,
2956135,777777,,,,,
2958866,777777,,,,,
2963167,777777,,,,,
2980835,777777,,,,,
2983522,777777,,,,,
2993225,777777,,,,,
2998821,777777,,,,,
3009572,777777,,,,,
3011643,777777,,,,,
3012295,777777,,,,,
3015386,777777,,,,,
3027728,777777,,,,,
3028637,777777,,,,,
3045009,777777,,,,,
3045699,777777,,,,,
3046041,777777,,,,,
3046176,777777,,,,,
3052948,777777,,,,,
3090588,777777,,,,,
3094960,777777,,,,,
3100128,777777,,,,,
3103118,777777,,,,,
3105674,777777,,,,,
3107244,777777,,,,,
3107500,777777,,,,,
3108185,777777,,,,,
3109198,777777,,,,,
3110073,777777,,,,,
3111931,777777,,,,,
3115715,777777,,,,,
3116867,777777,,,,,
3120727,777777,,,,,
3124701,777777,,,,,
3128782,777777,,,,,
3129895,777777,,,,,
3161101,777777,,,,,
3166253,777777,,,,,
3168885,777777,,,,,
3170537,777777,,,,,
3171382,777777,,,,,
3179000,777777,,,,,
3181243,777777,,,,,
3183515,777777,,,,,
3186783,777777,,,,,
3187353,777777,,,,,
3192131,777777,,,,,
3200380,777777,,,,,
3201032,777777,,,,,
3212955,777777,,,,,
3218227,777777,,,,,
3218281,777777,,,,,
3226614,777777,,,,,
3234824,777777,,,,,
3240667,777777,,,,,
3250496,777777,,,,,
3253847,777777,,,,,
3256039,777777,,,,,
3268074,777777,,,,,
3269814,777777,,,,,
3273708,777777,,,,,
3282827,777777,,,,,
3312708,777777,,,,,
3317238,777777,,,,,
3317404,777777,,,,,
3326881,777777,,,,,
3331350,777777,,,,,
3346193,777777,,,,,
3361462,777777,,,,,
3361480,777777,,,,,
3366320,777777,,,,,
3367240,777777,,,,,
3377960,777777,,,,,
3390862,777777,,,,,
3397636,777777,,,,,
3400442,777777,,,,,
3405811,777777,,,,,
3408707,777777,,,,,
3413862,777777,,,,,
3416465,777777,,,,,
3416896,777777,,,,,
3426232,777777,,,,,
3426800,777777,,,,,
3432758,777777,,,,,
3435208,777777,,,,,
3437559,777777,,,,,
3456727,777777,,,,,
3458568,777777,,,,,
3471839,777777,,,,,
3479376,777777,,,,,
3490561,777777,,,,,
3501258,777777,,,,,
3501402,777777,,,,,
3505452,777777,,,,,
3507048,777777,,,,,
3509065,777777,,,,,
3509978,777777,,,,,
3522986,777777,,,,,
3525224,777777,,,,,
3526960,777777,,,,,
3538978,777777,,,,,
3540727,777777,,,,,
3541902,777777,,,,,
3543622,777777,,,,,
3554293,777777,,,,,
3563638,777777,,,,,
3569754,777777,,,,,
3575547,777777,,,,,
3591229,777777,,,,,
3599247,777777,,,,,
3600395,777777,,,,,
3605068,777777,,,,,
3607348,777777,,,,,
3610229,777777,,,,,
3614589,777777,,,,,
3622375,777777,,,,,
3629926,777777,,,,,
3641407,777777,,,,,
3649204,777777,,,,,
3653772,777777,,,,,
3677482,777777,,,,,
3678910,777777,,,,,
3687352,777777,,,,,
3688408,777777,,,,,
3699027,777777,,,,,
3700559,777777,,,,,
3707204,777777,,,,,
3729678,777777,,,,,
3733156,777777,,,,,
3738577,777777,,,,,
3743195,777777,,,,,
3747105,777777,,,,,
3747564,777777,,,,,
3754765,777777,,,,,
3757188,777777,,,,,
3757662,777777,,,,,
3758294,777777,,,,,
3758912,777777,,,,,
3765148,777777,,,,,
3776424,777777,,,,,
3776807,777777,,,,,
3781369,777777,,,,,
3792044,777777,,,,,
